,KIC,Teff,Prot
2,  893305,4133,      
3, 1027110,4155, 1.701
4, 1027277,4326,60.136
5, 1160660,4232,      
6, 1160684,3952, 0.419
7, 1161315,4247,41.838
8, 1163114,4049, 0.766
9, 1163712,4212,      
10, 1164584,4154, 0.378
11, 1292147,4051,      
12, 1293046,4091,      
13, 1429629,4164,      
14, 1434455,4194,      
15, 1571340,4184,      
16, 1575893,4301,      
17, 1577167,3836,      
18, 1718059,3918,50.645
19, 1720670,3927,15.038
20, 1720673,4264,      
21, 1724498,4270,30.838
22, 1725848,4300,      
23, 1849513,4090,      
24, 1995168,3916,28.894
25, 1995305,3274,54.200
26, 1996728,3549,53.792
27, 2010137,3859, 1.584
28, 2014684,4028, 1.768
29, 2016946,4064,56.468
30, 2018047,4008,      
31, 2020307,4387,57.000
32, 2142111,4302,      
33, 2156545,4186,      
34, 2166547,3743,26.642
35, 2282663,4125,69.189
36, 2283892,4280,42.614
37, 2284116,4301,      
38, 2284919,3564,21.833
39, 2285481,4304,28.924
40, 2297384,4184, 0.337
41, 2297825,4169, 0.337
42, 2299707,4080,      
43, 2305283,3495,      
44, 2306630,4329,29.272
45, 2309070,4361,60.821
46, 2421893,4191,      
47, 2424191,3929, 3.423
48, 2436209,4179, 0.215
49, 2436332,4054, 0.378
50, 2436540,4206,      
51, 2436814,4076, 0.439
52, 2436824,4066, 0.317
53, 2436849,4204,19.810
54, 2437040,4051, 0.419
55, 2437402,4144, 0.235
56, 2437443,4384,      
57, 2437507,4024, 0.541
58, 2437539,4150, 0.235
59, 2437589,4163, 0.255
60, 2437653,4226,      
61, 2437698,4182, 0.337
62, 2437805,4147, 0.337
63, 2437816,3996, 0.603
64, 2437972,4266, 0.296
65, 2438038,4165, 0.378
66, 2438094,4158, 1.093
67, 2439496,4321,38.099
68, 2442692,4040,51.933
69, 2443944,4336,33.077
70, 2448727,4325, 0.276
71, 2450581,4358,      
72, 2451529,3337,      
73, 2452748,4289,      
74, 2557479,4081,62.174
75, 2569000,4361,      
76, 2569360,4021, 0.501
77, 2570094,4222,      
78, 2570518,4218, 0.501
79, 2573016,4326,      
80, 2574699,4328,36.213
81, 2577056,4350,37.097
82, 2579041,4357,      
83, 2580109,4196,      
84, 2581647,4218,      
85, 2582135,4347,      
86, 2583649,4306,42.310
87, 2692429,4301,20.526
88, 2708445,4148,      
89, 2709731,4138,15.154
90, 2721113,3530,      
91, 2721506,4149,62.423
92, 2831943,4108,39.978
93, 2833945,4311,44.188
94, 2834053,4322,46.211
95, 2835160,4381,      
96, 2837046,3383,60.882
97, 2845560,4250,42.142
98, 2846051,4012, 1.614
99, 2846944,4049, 1.318
100, 2847114,3914, 1.318
101, 2849722,4357,      
102, 2850262,4385,46.371
103, 2850322,4224,64.213
104, 2850521,4358,      
105, 2850913,4307, 0.215
106, 2854099,4299, 0.984
107, 2854411,4354,28.320
108, 2858337,4224,      
109, 2971679,4107,35.749
110, 2972492,4317,47.527
111, 2983183,4256,      
112, 2985277,4317,      
113, 2985404,4323,46.640
114, 2986860,4181, 1.093
115, 2991497,3926,43.636
116, 2994813,4083,      
117, 3098586,4371,25.184
118, 3102561,4200,41.699
119, 3103693,4316,      
120, 3110766,4304,      
121, 3111407,4341,43.983
122, 3119525,3679,      
123, 3121957,4349,      
124, 3130278,4404, 0.327
125, 3216554,4223,41.259
126, 3218080,4299,44.086
127, 3228276,3249,      
128, 3230048,4204,      
129, 3232334,3932,40.019
130, 3232393,3941,14.320
131, 3234941,4269,50.175
132, 3235003,4112,      
133, 3235567,3601,29.542
134, 3236003,4213,46.097
135, 3241340,4302,      
136, 3248658,4081,38.115
137, 3324375,4101,41.184
138, 3328429,4398,      
139, 3328643,3932,      
140, 3329865,3960,40.453
141, 3331515,4135,47.872
142, 3335266,4326,68.443
143, 3335305,4370,40.857
144, 3343420,4381,      
145, 3346467,3951,      
146, 3348817,4284,      
147, 3352523,4025,37.251
148, 3353108,3906,      
149, 3353880,4287,43.447
150, 3357002,4375,      
151, 3425363,4308,      
152, 3426250,3990,22.840
153, 3426422,4313,      
154, 3426852,4089,39.684
155, 3429112,4265,      
156, 3430778,4299,42.699
157, 3430981,4154,28.414
158, 3431143,3725, 3.484
159, 3431246,4058,43.814
160, 3431453,4292,      
161, 3432286,3755,      
162, 3439791,3753, 0.437
163, 3440423,4211,      
164, 3453664,4278,57.562
165, 3454720,4199,      
166, 3455493,4335,19.973
167, 3456577,4188,      
168, 3457861,3915,      
169, 3530287,4329,28.760
170, 3532233,4218,41.082
171, 3540204,4387,      
172, 3544774,4215,      
173, 3545104,3705,      
174, 3545291,3747,29.272
175, 3547906,3906,67.378
176, 3559731,4352,44.641
177, 3561148,3507,60.177
178, 3628718,4118,      
179, 3633335,3691, 2.830
180, 3633735,4293,36.638
181, 3642676,4318,32.689
182, 3647136,4277,      
183, 3648391,4082,      
184, 3658066,3909,39.600
185, 3658619,3388,44.423
186, 3658781,3551,      
187, 3728205,4254,21.712
188, 3731435,4201,61.517
189, 3734459,4316,      
190, 3735269,4220, 0.296
191, 3735699,3953, 2.605
192, 3743562,4271,30.742
193, 3747617,4284,      
194, 3763613,4317,      
195, 3763843,4217,      
196, 3765482,4319,      
197, 3833890,4159,27.287
198, 3836105,4059, 1.788
199, 3836257,3850,      
200, 3848056,4174,35.310
201, 3851673,4094,19.691
