,KIC,Teff,Prot
2,  892376,3813, 1.532
3, 1026146,4261,14.891
4, 1026474,4122, 1.569
5, 1162635,3760,15.678
6, 1164102,4045,31.496
7, 1292688,3774,42.659
8, 1297303,4296,27.333
9, 1429921,4217,23.131
10, 1430349,4285,34.717
11, 1430893,3925,17.045
12, 1431060,4195,39.682
13, 1431116,4341,38.757
14, 1432700,4305,31.733
15, 1432745,4354,22.189
16, 1435229,4050,23.469
17, 1569682,3857,17.354
18, 1569863,3589,13.321
19, 1570915,4055,12.315
20, 1571364,4404,20.449
21, 1572802,3878, 0.374
22, 1573478,4233,18.018
23, 1577265,3898,15.153
24, 1718071,3857,21.712
25, 1721911,3705,29.620
26, 1722506,4270,10.653
27, 1849590,4070,16.197
28, 1865663,4230,31.319
29, 1866535,3754,24.925
30, 1866924,4117,27.240
31, 1866986,3832,37.348
32, 1867358,3625,32.879
33, 1868579,4069,38.173
34, 1870952,3888,24.278
35, 1871120,4011,37.851
36, 1872885,3688, 1.872
37, 1873523,3934,20.429
38, 1873543,3702,11.548
39, 1996574,4132,20.480
40, 2010738,4067,26.741
41, 2012731,3471,36.258
42, 2013627,4084,13.960
43, 2013754,4280, 4.900
44, 2014203,4202,10.796
45, 2015703,4313,22.448
46, 2015767,4078,18.502
47, 2016979,4368,17.253
48, 2017692,4250,11.431
49, 2018383,4267,30.372
50, 2020185,4289,21.537
51, 2020638,4337,18.350
52, 2140909,4139,38.622
53, 2142372,3705,18.641
54, 2142451,3482,33.671
55, 2156061,4085,30.030
56, 2156718,4176,21.665
57, 2157356,3650,13.607
58, 2160105,4352,17.089
59, 2161569,4303,21.366
60, 2162907,3830,26.500
61, 2163101,4112,25.637
62, 2163610,3913,42.246
63, 2163634,4371,30.462
64, 2167693,3766,17.575
65, 2282712,3451,20.167
66, 2282944,4312,32.307
67, 2285598,3951,37.057
68, 2300039,3402, 1.712
69, 2300440,4302,21.326
70, 2301872,3968,22.888
71, 2302851,3984,12.217
72, 2302997,3933,25.602
73, 2305760,4248,19.570
74, 2309152,3938,31.901
75, 2311842,4379,19.754
76, 2423549,3730,39.804
77, 2424688,3956,11.095
78, 2435893,3903,41.146
79, 2436635,4398, 1.175
80, 2437270,4242,23.778
81, 2437317,4250,36.913
82, 2438151,4403,49.379
83, 2441409,4312,25.364
84, 2441562,3617,10.104
85, 2441891,3744,15.472
86, 2441989,4223,38.393
87, 2442004,3975, 8.865
88, 2442866,4344, 2.934
89, 2443037,4343,11.652
90, 2443364,4013,35.915
91, 2443935,3862,34.068
92, 2444406,4195,16.625
93, 2445782,4220,27.609
94, 2446934,3774,26.101
95, 2448311,4254,24.021
96, 2448958,4157,23.051
97, 2554730,3389,45.962
98, 2555523,3869,26.121
99, 2557350,3627,18.979
100, 2557669,3672, 1.864
101, 2558314,4052,27.590
102, 2568503,4099,34.241
103, 2570277,3836,45.990
104, 2570846,3781,10.913
105, 2572352,4342,39.222
106, 2574013,4220,44.623
107, 2574427,3897,13.635
108, 2575433,3857,15.568
109, 2576013,4206,23.532
110, 2576328,4311,11.569
111, 2577210,4351,31.136
112, 2577743,3511,32.181
113, 2581298,3764,17.539
114, 2581444,4094,11.976
115, 2583553,4263,25.117
116, 2584692,4108,42.211
117, 2692704,3624,14.903
118, 2692708,3531,29.878
119, 2692772,3790,28.030
120, 2693993,4301,23.701
121, 2694414,4244,19.741
122, 2695622,3743,16.171
123, 2695885,3368,56.728
124, 2708172,4126,38.828
125, 2708787,4084,23.830
126, 2713086,3921, 4.140
127, 2713304,3981,29.857
128, 2714000,3777,26.884
129, 2714077,4327,13.802
130, 2716857,4248, 8.698
131, 2718397,4004,22.446
132, 2718781,4113,23.378
133, 2718935,3761,33.050
134, 2831983,4248,10.039
135, 2832175,4199,18.987
136, 2832398,3800,14.707
137, 2832720,3204,24.142
138, 2832741,4380,19.892
139, 2834075,3914,37.550
140, 2834564,3524,21.875
141, 2834612,3716,13.436
142, 2834637,3233,23.227
143, 2834754,4211,27.236
144, 2834778,3624,41.079
145, 2835051,4061,39.835
146, 2835274,4078,13.360
147, 2835393,3735,14.995
148, 2836098,3971,29.358
149, 2837126,4043,34.624
150, 2845689,4106,13.555
151, 2847357,3666,32.441
152, 2852669,4201,12.270
153, 2859045,4220,24.459
154, 2859114,3395,38.698
155, 2860547,4120,25.968
156, 2861126,3598,16.134
157, 2861880,4106,25.844
158, 2865225,4110,27.452
159, 2969839,3685,36.292
160, 2971272,3695,17.206
161, 2971717,4258,11.846
162, 2973297,4286,25.092
163, 2973361,3632,45.917
164, 2973500,3547,19.597
165, 2973800,4249,30.939
166, 2982913,4041,18.590
167, 2984144,4242,34.277
168, 2985366,4208, 0.244
169, 2987754,4279,21.995
170, 2988084,4348,32.258
171, 2988458,3664,17.658
172, 2989438,4370,21.621
173, 2992347,4148,31.286
174, 2992668,3726,15.095
175, 2994087,4286,31.335
176, 2994746,4389,38.466
177, 2995880,4338,19.616
178, 2997195,4083,16.085
179, 2998208,3567,22.168
180, 3096944,3981,43.328
181, 3099491,3522,34.991
182, 3099533,3449,39.259
183, 3099900,3601,18.095
184, 3100994,4112,31.992
185, 3101007,3901,13.451
186, 3101129,4285,27.394
187, 3101830,4232,24.516
188, 3102749,4058, 8.163
189, 3102763,3522,14.561
190, 3103752,3379, 4.785
191, 3109825,3832,13.318
192, 3109945,3417,45.448
193, 3110319,4340,16.643
194, 3110684,4219,33.076
195, 3111995,3341,37.751
196, 3112017,4156,16.408
197, 3112821,4192,11.387
198, 3112828,4288, 9.949
199, 3112866,4156,38.283
200, 3112890,4170, 7.548
201, 3115879,3965,37.107
