#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-29T14:50:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6061e8d27096	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Mass
#-out=Prot
#-out=e_Prot
#-out=n_Prot
#-out=Rper
#-out=LPH
#-out=w
#-out=Ref
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	KIC	(I8)	Kepler Input Catalog identifier (Cat. V/133)	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	[3.5/5.4] Star surface gravity (log)	[ucd=phot.sb]
#Column	Mass	(F7.4)	[0.2/1.3] Star mass (1)	[ucd=phys.mass]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
#Column	e_Prot	(F6.3)	[0/51]? Error in Prot	[ucd=stat.error]
#Column	n_Prot	(A3)	Period flag (4)	[ucd=meta.note]
#Column	Rper	(F10.2)	[187/1520000]? Average variability amplitude within 1 period	[ucd=phot.mag;arith.ratio]
#Column	LPH	(F6.3)	[0.01/1.82]? Local Peak Height of the autocorrelation function (ACF)	[ucd=stat.fit.param]
#Column	w	(F7.4)	[0/1]? Assigned weight (2)	[ucd=stat.weight;phys.atmol.weight]
#Column	Ref	(I1)	? T_eff_ and log(g) source flag (3) [NULL integer written as an empty string]	[ucd=meta.bib]
#Column	_RA	(F9.5)	Positions from Kepler Input Catalog (Cat. V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Kepler Input Catalog (Cat. V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;KIC;Teff;log(g);Mass;Prot;e_Prot;n_Prot;Rper;LPH;w;Ref;_RA;_DE
deg;deg; ;K;[cm/s2];Msun;d;d; ;ppm; ; ; ;deg;deg
-----------;-----------;--------;----;-----;-------;------;------;---;----------;------;-------;-;---------;---------
291.0638700;+36.6358111;  892376;3813; 4.47; 0.4699; 1.532; 0.007;   ;   7306.69; 0.823; 0.4503;0;291.06387;+36.63581
291.0700700;+36.7806019; 1026146;4261; 4.57; 0.6472;14.891; 0.120;   ;  11742.56; 1.405; 0.7229;0;291.07007;+36.78060
291.1491100;+36.7238200; 1026474;4122; 4.56; 0.5914; 1.569; 0.006;   ;  30471.80; 1.204; 0.6061;0;291.14911;+36.72382
291.3348400;+36.8064381; 1162635;3760; 4.77; 0.4497;15.678; 0.019;   ;  10207.47; 0.978; 0.5445;1;291.33484;+36.80644
291.6509700;+36.8368419; 1164102;4045; 4.62; 0.5606;31.496; 0.474;   ;   5139.74; 0.568; 0.3939;0;291.65097;+36.83684
290.9202300;+36.9171711; 1292688;3774; 4.74; 0.4550;42.659; 2.131;   ;   6320.15; 0.530; 0.3172;1;290.92023;+36.91717
291.9584700;+36.9996111; 1297303;4296; 4.61; 0.6613;27.333; 0.193;   ;   6189.53; 0.777; 0.5124;0;291.95847;+36.99961
290.8338900;+37.0747111; 1429921;4217; 4.72; 0.6295;23.131; 0.110;   ;  15370.91; 0.943; 0.5839;0;290.83389;+37.07471
290.9396100;+37.0063589; 1430349;4285; 4.54; 0.6569;34.717; 0.752;   ;   3244.49; 0.376; 0.2563;0;290.93961;+37.00636
291.0866700;+37.0725589; 1430893;3925; 4.72; 0.5133;17.045; 0.026;   ;  13583.24; 1.429; 0.7204;1;291.08667;+37.07256
291.1281400;+37.0379300; 1431060;4195; 4.71; 0.6206;39.682; 0.849;   ;   4701.32; 0.458; 0.2904;0;291.12814;+37.03793
291.1409900;+37.0587881; 1431116;4341; 4.61; 0.6795;38.757; 1.038;   ;   5648.64; 0.696; 0.4020;0;291.14099;+37.05879
291.4793400;+37.0483400; 1432700;4305; 4.60; 0.6650;31.733; 0.263;   ;   5284.55; 0.619; 0.4368;0;291.47934;+37.04834
291.4881600;+37.0730900; 1432745;4354; 4.59; 0.6848;22.189; 0.219;   ;  17414.45; 1.308; 0.6561;0;291.48816;+37.07309
292.0298200;+37.0216289; 1435229;4050; 4.52; 0.5626;23.469; 0.027;   ;   4784.67; 0.916; 0.5656;0;292.02982;+37.02163
290.5854200;+37.1643600; 1569682;3857; 4.74; 0.4869;17.354; 0.222;   ;   4018.49; 0.522; 0.2989;1;290.58542;+37.16436
290.6265000;+37.1426889; 1569863;3589; 4.91; 0.3862;13.321; 0.369;   ;  30052.33; 1.576; 0.7713;1;290.62650;+37.14269
290.8616600;+37.1550711; 1570915;4055; 4.56; 0.5646;12.315; 0.163;   ;   9095.55; 1.228; 0.6547;0;290.86166;+37.15507
290.9637100;+37.1528281; 1571364;4404; 4.60; 0.7050;20.449; 0.132;   ;   7352.71; 1.021; 0.6093;0;290.96371;+37.15283
