,KIC,Teff,Prot
98, 2555523,3869,26.121
99, 2557350,3627,18.979
100, 2557669,3672, 1.864
101, 2558314,4052,27.590
102, 2568503,4099,34.241
103, 2570277,3836,45.990
104, 2570846,3781,10.913
105, 2572352,4342,39.222
106, 2574013,4220,44.623
107, 2574427,3897,13.635
108, 2575433,3857,15.568
109, 2576013,4206,23.532
110, 2576328,4311,11.569
111, 2577210,4351,31.136
112, 2577743,3511,32.181
113, 2581298,3764,17.539
114, 2581444,4094,11.976
115, 2583553,4263,25.117
116, 2584692,4108,42.211
117, 2692704,3624,14.903
118, 2692708,3531,29.878
119, 2692772,3790,28.030
120, 2693993,4301,23.701
121, 2694414,4244,19.741
122, 2695622,3743,16.171
123, 2695885,3368,56.728
124, 2708172,4126,38.828
125, 2708787,4084,23.830
126, 2713086,3921, 4.140
127, 2713304,3981,29.857
128, 2714000,3777,26.884
129, 2714077,4327,13.802
130, 2716857,4248, 8.698
131, 2718397,4004,22.446
132, 2718781,4113,23.378
133, 2718935,3761,33.050
134, 2831983,4248,10.039
135, 2832175,4199,18.987
136, 2832398,3800,14.707
137, 2832720,3204,24.142
138, 2832741,4380,19.892
139, 2834075,3914,37.550
140, 2834564,3524,21.875
141, 2834612,3716,13.436
142, 2834637,3233,23.227
143, 2834754,4211,27.236
144, 2834778,3624,41.079
145, 2835051,4061,39.835
146, 2835274,4078,13.360
147, 2835393,3735,14.995
148, 2836098,3971,29.358
149, 2837126,4043,34.624
150, 2845689,4106,13.555
151, 2847357,3666,32.441
152, 2852669,4201,12.270
153, 2859045,4220,24.459
154, 2859114,3395,38.698
155, 2860547,4120,25.968
156, 2861126,3598,16.134
157, 2861880,4106,25.844
158, 2865225,4110,27.452
159, 2969839,3685,36.292
160, 2971272,3695,17.206
161, 2971717,4258,11.846
162, 2973297,4286,25.092
163, 2973361,3632,45.917
164, 2973500,3547,19.597
165, 2973800,4249,30.939
166, 2982913,4041,18.590
167, 2984144,4242,34.277
168, 2985366,4208, 0.244
169, 2987754,4279,21.995
170, 2988084,4348,32.258
171, 2988458,3664,17.658
172, 2989438,4370,21.621
173, 2992347,4148,31.286
174, 2992668,3726,15.095
175, 2994087,4286,31.335
176, 2994746,4389,38.466
177, 2995880,4338,19.616
178, 2997195,4083,16.085
179, 2998208,3567,22.168
180, 3096944,3981,43.328
181, 3099491,3522,34.991
182, 3099533,3449,39.259
183, 3099900,3601,18.095
184, 3100994,4112,31.992
185, 3101007,3901,13.451
186, 3101129,4285,27.394
187, 3101830,4232,24.516
188, 3102749,4058, 8.163
189, 3102763,3522,14.561
190, 3103752,3379, 4.785
191, 3109825,3832,13.318
192, 3109945,3417,45.448
193, 3110319,4340,16.643
194, 3110684,4219,33.076
195, 3111995,3341,37.751
196, 3112017,4156,16.408
197, 3112821,4192,11.387
198, 3112828,4288, 9.949
199, 3112866,4156,38.283
200, 3112890,4170, 7.548
201, 3115879,3965,37.107
