,KIC,Kp,q_first,q_last,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,mass,E_mass,e_mass,Prot,E_prot,Sph,E_Sph,Flag_Type1CPCB,Flag_MSSG,Flag_Binary,Flag_KOI,Flag_Source
2,891916,14.799,1,17,5650.8,131.9,137.7,4.132,0.224,0.254,1.008,0.164,0.112,5.45,0.42,3409.6,199.2,-999,1,-999,-999,0
5,892834,15.269,1,17,4823.2,90.4,82.2,4.587,0.023,0.028,0.751,0.034,0.039,13.61,1.02,2077.5,82.5,-999,1,0,-999,0
26,1027900,10.863,0,17,5772.2,108.1,103.0,4.332,0.041,0.042,0.99,0.075,0.074,18.76,3.44,167.0,5.9,-999,1,0,-999,0
27,1028018,12.646,0,17,5520.5,106.4,100.7,4.291,0.04,0.04,0.925,0.065,0.059,0.61,0.04,18836.8,3108.9,1,1,0,-999,0
28,1028640,13.369,0,17,6167.5,122.4,119.7,3.878,0.064,0.068,1.341,0.14,0.094,5.08,0.42,280.1,21.8,-999,1,0,-999,0
29,1160947,15.826,1,17,4890.1,107.5,103.7,4.619,0.02,0.026,0.719,0.032,0.036,24.54,1.8,3203.1,94.4,-999,1,0,-999,0
30,1161092,13.561,1,17,6340.5,158.2,157.6,4.175,0.034,0.037,1.245,0.057,0.067,24.0,1.93,197.5,8.2,-999,1,0,-999,0
32,1161402,12.35,0,17,6159.4,124.1,116.8,4.276,0.029,0.037,1.152,0.065,0.072,2.39,0.17,1261.6,54.9,1,1,0,-999,0
42,1163090,15.617,2,17,4815.4,89.2,81.7,4.576,0.027,0.03,0.757,0.037,0.038,15.64,1.21,3927.5,139.5,-999,1,0,-999,0
45,1163579,13.208,0,17,5721.5,111.7,105.5,4.215,0.042,0.041,0.968,0.074,0.066,5.37,0.4,3996.1,225.8,1,1,0,-999,0
48,1164102,15.274,1,17,4168.2,51.7,67.2,4.62,0.033,0.021,0.63,0.019,0.016,29.59,3.38,307.1,14.4,-999,1,0,-999,0
50,1164207,13.8,3,16,5860.0,117.9,111.3,3.361,0.163,0.163,1.844,0.253,0.24,1.13,0.1,43.5,21.2,-999,2,-999,-999,0
52,1164583,14.27,1,17,4584.0,124.0,124.0,4.615,0.042,0.032,0.684,0.067,0.055,46.75,5.5,1506.3,31.3,-999,2,-999,-999,1
72,1296491,14.907,4,17,5062.1,89.0,81.9,4.54,0.032,0.034,0.808,0.044,0.047,25.76,2.48,1363.9,40.4,-999,1,0,-999,0
78,1297347,14.561,1,17,5124.0,93.7,88.8,4.551,0.028,0.036,0.814,0.04,0.051,13.24,1.12,3395.0,126.2,-999,1,0,-999,0
81,1429893,13.779,1,17,4827.7,74.5,69.8,4.57,0.023,0.03,0.799,0.033,0.041,33.75,3.16,1069.1,26.3,-999,1,0,-999,0
85,1430239,10.522,0,17,6186.5,107.8,95.1,3.696,0.021,0.047,1.794,0.05,0.168,8.05,1.0,119.0,6.6,-999,1,0,-999,0
90,1430893,15.41,1,17,4070.5,71.9,76.8,4.634,0.018,0.016,0.606,0.014,0.014,16.88,1.21,2763.4,96.5,-999,1,0,-999,0
112,1433642,14.381,1,17,5193.0,91.6,86.2,4.477,0.039,0.038,0.879,0.056,0.052,12.61,0.93,2800.6,107.1,-999,1,0,-999,0
114,1433899,15.229,1,17,5441.9,123.5,112.5,4.421,0.05,0.045,0.85,0.065,0.052,11.14,0.8,2441.7,104.9,-999,1,0,-999,0
119,1434708,13.563,0,17,5379.7,84.3,87.0,4.53,0.017,0.026,0.936,0.031,0.041,19.66,1.96,1699.7,52.3,-999,1,0,-999,0
123,1435272,13.633,1,17,6339.5,127.6,128.1,4.11,0.031,0.03,1.384,0.06,0.058,5.68,0.52,172.0,15.6,-999,1,0,-999,0
126,1435987,14.68,3,16,4034.3,74.9,76.3,4.65,0.015,0.014,0.59,0.013,0.013,15.53,1.13,2624.0,103.5,-999,1,0,-999,0
130,1569897,14.393,1,17,5689.7,112.8,109.0,4.417,0.04,0.045,0.959,0.069,0.073,24.84,2.46,858.8,13.3,-999,1,0,-999,0
137,1570915,13.863,1,17,4397.9,70.7,69.3,4.619,0.017,0.015,0.642,0.017,0.014,12.18,0.97,2545.5,98.2,-999,1,0,-999,0
140,1571364,14.421,1,17,4521.0,76.5,74.8,4.627,0.02,0.017,0.654,0.024,0.019,20.35,1.56,2232.6,68.4,-999,1,0,-999,0
