TIC_ID,RA,Dec,Teff,log(g),Rotation_Period,False_Alarm_Probability,Lomb-Scargle_Power
283863167,2.232138,30.705563,5416,4.4167,1.37204,0,86.5302
437738492,2.817595,25.612,5297,4.44111,0.693178,0,85.1642
437745995,3.492672,28.618965,nan,nan,0.749777,0,181.964
440050964,3.546743,43.985283,5829,4.33583,0.639223,0,70.9113
440060221,3.593787,41.891983,6367,4.94943,1.34465,0,83.4555
365965666,4.259123,35.452122,5709.78,4.35814,0.904945,0,66.6865
437750603,5.279279,28.797157,6525,4.21987,0.789634,0,38.4581
58017347,5.329943,35.404285,6367,4.24272,0.515568,0,1239.5
437752383,5.437105,24.916302,6331,4.24831,1.69139,0,126.025
437755602,5.4582,24.932302,5724.88,4.35528,1.69139,0,81.2002
44452888,6.833349,32.040718,6297.19,4.25366,0.523314,0,380.715
440657189,6.864988,26.837,4736.97,4.374,0.599395,0,62.2369
190997597,7.061585,43.261299,nan,nan,0.962733,0,51.3653
115513521,7.640016,39.456341,6122,4.283,4.50532,0,111.225
191132800,7.737571,43.16925,5488,4.40187,1.84932,0,665.388
242745294,8.276929,22.207005,6608,4.20904,0.775092,0,219.715
426960711,9.116445,21.537397,5801,4.34102,2.22881,0,158.125
25696964,9.734531,24.854609,6305,4.25242,0.888234,0,84.0814
434217008,10.368609,18.984583,6091,4.28842,4.03714,0,1516.25
267778963,10.519724,32.610996,8855,3.2965,2.47451,0,1301.75
267869660,11.148597,31.577963,nan,nan,1.72903,0,1523.35
267869452,11.157913,32.095295,5161,4.46746,2.08611,0,148.611
267869692,11.199079,31.477467,6354,4.24472,45.4959,0,88.0557
115911490,11.933951,36.039787,6611,4.20866,0.634007,0,1045.55
67951280,12.399322,41.460346,6777,4.18969,0.552813,0,707.044
53729665,13.072092,35.267799,5229,4.45461,0.59306,0,218.932
53794553,13.689381,33.956093,nan,nan,3.98931,0,1522.63
13996170,13.871782,29.846333,nan,nan,0.519278,0,59.3654
53829701,13.887495,31.549391,5493,4.40085,0.623826,0,83.159
352260948,14.024867,41.891178,3584,4.73865,1.21963,0,641.514
352258919,14.072932,38.173126,5834,4.33491,0.733977,0,562.781
15517054,14.678912,28.41391,nan,nan,20.5297,0,80.3849
352296932,14.892647,39.333965,5889,4.3248,0.728682,0,602.328
405548402,15.235578,35.4282,5265,4.44753,1.02631,0,83.7057
381203567,15.285113,30.262051,6488,4.76216,0.645349,0,165.194
352380221,15.431849,38.096237,6353.84,4.143,0.534105,0,1450.59
176976745,355.628474,43.014362,5962,4.3115,1.61049,0,1435.87
56249250,356.310978,27.960501,5880,4.32645,0.729208,0,794.327
352077081,357.082691,34.809475,6422,4.23445,0.556774,0,439.145
352077085,357.108385,34.81625,5236,4.45325,0.556774,0,183.856
455755453,357.568033,39.017414,6435,4.23255,2.46847,0,198.532
291728959,358.663266,36.75444,6016,4.30175,2.29463,0,123.073
155204110,359.143742,31.666582,6334.03,4.24783,0.840209,0,87.5561
267569132,9.009694,29.993233,5703,4.35943,30.4229,0,64.9333
426961209,9.118295,23.230553,5155,4.46856,8.00384,0,74.8818
352025952,356.836684,30.086342,5310,4.43848,2.32099,0,607.669
434219723,10.625457,20.062691,5345,5.91614,0.941203,0,39.8812
405532120,355.826744,29.932398,5416,4.4167,30.4229,0,48.6635
411534476,7.151364,19.702049,5632,2.79376,31.3676,0,347.77
242841629,9.220724,20.521339,5673,4.36516,2.93462,0,68.126
434221344,10.847347,22.570601,5193,5.38878,15.7332,0,155.409
238439045,8.875787,28.340483,5418.26,4.405,1.05416,0,42.3499
80436640,8.60655,24.17918,5065,5.07591,20.9556,0,58.2881
301800584,8.967791,29.237795,5677,5.52969,17.0619,0,47.8269
67878572,358.039806,31.464674,5164,5.94105,0.916439,0,389.815
125301985,358.732983,32.169048,5699,4.36019,7.10328,0,155.735
242604213,7.629111,22.769079,nan,nan,1.02631,0,105.584
435864514,12.240601,22.844362,5713,4.73152,7.75795,0,83.5825
239554607,8.067902,34.37545,nan,nan,30.4229,0,194.067
125255550,358.162735,30.748907,5307,2.96173,28.6944,0,95.4641
242844979,9.334064,19.571589,nan,nan,4.02107,0,163.145
405561257,357.61612,30.353256,nan,nan,13.9899,0,481.355
56245597,356.150192,28.926207,5832,5.47907,9.78761,0,109.927
125255278,357.871784,29.926447,5966,5.70078,7.10328,0,46.6731
125254865,357.860982,31.117416,5732,6.04157,1.09058,0,82.0242
125786566,358.205617,26.471434,5180,5.80776,9.60154,0,332.12
267569255,8.98129,30.370207,5965,4.47812,1.53697,0,41.6079
282720496,352.741143,21.550596,5604,5.38686,1.11712,0,353.356
60910280,5.660179,21.666639,nan,nan,38.5505,0,209.193
129566398,356.967446,28.05784,nan,nan,6.72495,0,102.558
44523197,7.550692,30.248922,nan,nan,8.84486,0,353.119
434283743,354.098837,19.753387,6011,5.6003,0.907383,0,75.348
56281538,359.293825,28.581854,6304,4.91731,1.177,0,49.3737
434283044,354.026437,22.16053,5368,3.34478,30.4229,0,116.414
365859794,358.877101,28.024748,5835,4.33472,4.05334,0,99.0916
125991432,8.309734,34.074669,6315,5.70304,1.71145,0,40.8512
435858579,11.71136,22.252094,5469,4.40577,0.898505,0,89.2357
150906084,4.564671,20.576195,5284,4.44373,1.0422,0,89.8535
242604111,7.663383,20.955334,6373,4.24181,0.694131,0,49.0623
242799383,8.931386,23.435177,5579,4.38349,0.518745,0,71.57
435872532,12.547356,22.863276,nan,nan,1.50941,0,91.0947
269787637,359.34921,26.203129,5912,4.36036,9.51113,0,45.6369
125785985,358.254152,28.310907,5576,5.87191,5.07074,0,86.9192
258878231,2.267944,19.924694,6369.67,3.52035,29.5334,0,51.1905
44523154,7.42526,30.164379,6282,4.29239,14.3885,0,38.9706
67878522,357.936191,31.593046,nan,nan,1.07206,0,121.85
435860040,11.753277,19.284925,5317,4.43706,1.05197,0,39.9535
25760960,10.181419,29.911674,nan,nan,17.3551,0,107.714
44453403,6.821655,30.687637,5648,4.36998,0.84868,0,280.504
435864557,12.130104,22.655081,5245,5.91758,1.15282,0,154.396
365858559,358.766871,28.633633,nan,nan,6.72495,0,859.211
117929446,0.252378,27.886362,nan,nan,0.935104,0,257.713
419549179,8.44389,30.023384,5730,4.35431,0.785947,0,111.435
242745294,8.276929,22.207005,6608,4.20904,0.775092,0,219.715
352105131,357.216842,31.884796,5642,5.83532,13.9899,0,49.5122
346437957,351.585443,20.591764,6363,4.65214,1.19087,0,128.272
243113328,350.555063,19.400269,5973.95,5.24844,29.5334,0,60.3575
432484824,355.78014,31.035381,6225,5.58048,0.843014,0,174.28
352026337,356.895001,30.957602,8782,4.0797,3.07768,0,284.869
129631791,357.465502,26.154205,5676,3.13231,35.8166,0,38.5153
125253491,357.844356,35.05228,5914,5.39589,7.52672,0,125.573
435875898,12.927002,23.811077,3409,4.82056,18.9861,0,43.7987
129642864,357.7994,26.561054,6015,4.30193,1.16613,0,72.6809
269747005,356.785302,26.56665,5931,3.4371,2.76587,0,53.301
129642757,357.848688,26.85745,6429,4.23342,1.31489,0,53.8534
267742104,10.370686,31.269123,4033,4.61187,31.3676,0,45.4755
405563014,357.620334,33.990192,5440,4.41174,1.06641,0,316.665
242745011,8.365105,19.204838,5357,4.42887,1.13724,0,452.767
436527780,13.338184,23.260653,5919,4.31932,2.46847,0,165.816
406543120,358.33122,28.39712,5342,4.43195,0.775092,0,171.458
155229537,359.45891,33.730198,4670,4.53584,1.42027,0,463.682
150863271,3.946199,21.330793,5892,4.32425,7.47105,0,115.163
434217008,10.368609,18.984583,6091,4.28842,4.03714,0,1516.25
288145678,356.031922,30.729853,5957,4.31241,2.20931,0,62.5263
56245915,356.063626,29.782099,5503,6.04242,9.88338,0,48.1561
238305920,5.750827,22.375099,5755.17,5.16101,0.508559,0,38.1364
238437211,8.697071,26.06584,nan,nan,1.05416,0,287.453
239548096,359.646288,26.193428,5865,4.3292,5.02033,0,51.4185
238392608,1.223774,27.347445,5216,4.45713,11.1982,0,95.9956
150904550,4.373086,22.003189,5724,4.35545,0.872882,0,84.2157
44453335,6.757708,30.861643,5181,4.46377,38.5505,0,92.823
129632858,357.387468,29.135267,5339,5.87924,6.26606,0,118.97
125303212,358.711593,35.146736,6081,4.29018,2.58866,0,173.025
283860545,1.967389,35.608223,nan,nan,5.45405,0,56.7562
435875302,12.782687,21.731329,6009,4.30301,3.11565,0,122.683
440672051,7.969068,25.704224,5406,5.35192,1.13724,0,243.581
372130933,1.132368,33.557667,5698,4.36038,0.512429,0,37.5875
365987323,4.324433,33.543743,nan,nan,15.0308,0,54.2435
25800859,11.173902,29.321533,5971.42,4.524,11.0754,0,37.9793
125303046,358.681481,34.748135,5642,4.37114,6.86201,0,57.748
437745775,3.573209,27.946142,5219,4.45655,13.6129,0,47.1717
239552340,7.872195,31.396057,5889,4.17548,0.97013,0,242.647
352143681,357.370582,35.664158,nan,nan,13.6129,0,115.167
269747071,356.736739,26.7624,4731,4.52915,0.843718,0,49.2317
352028004,356.906368,34.85413,5889,3.02077,16.5044,0,167.314
239549322,359.767069,25.989679,6057,4.29443,3.92727,0,68.3484
365900539,358.847974,26.550861,5777,5.74809,1.23303,0,56.2994
306119022,4.293597,29.531118,4466,5.40371,7.75795,0,41.6424
434212042,10.042228,20.532789,5580,4.38329,0.936838,0,51.9377
238418024,1.473002,25.592182,5899,5.45512,6.59326,0,118.645
411515858,5.8945,20.241194,3860,4.6479,7.87898,0,311.481
129632064,357.379507,26.931656,5487,4.40207,15.4919,0,49.8955
301788825,1.926052,19.5874,5555.82,5.68785,0.792111,0,271.11
437741841,3.193548,27.109125,nan,nan,29.5334,0,49.6362
306058348,3.946413,29.466223,5234,4.45364,15.2579,0,112.874
365989030,4.351859,30.727427,5678.28,5.20408,1.10009,0,129.008
238282711,0.351793,22.279947,5936,5.81424,6.95652,0,45.3241
438237471,10.772367,37.03606,5697,4.36057,1.08356,0,73.1908
435873808,12.75763,20.139778,4110,4.59939,0.663143,0,281.902
83959458,0.514918,33.490005,4637,5.82088,11.5835,0,75.8811
437743785,3.387097,26.819872,5762,5.92892,1.10009,0,80.952
411524787,6.141225,22.885468,5307.36,4.61311,10.9553,0,95.0089
436549683,14.090063,22.375244,5402,6.03328,1.1411,0,62.5563
83955820,0.349708,34.281883,4053,4.60845,24.5158,0,129.487
118032371,0.970723,27.980921,6240,4.26297,45.4959,0,117.376
331740895,1.35899,35.851677,5806.21,5.67837,10.9553,0,42.7836
456835217,2.589986,22.550507,5603,4.37875,6.46663,0,110.734
267802440,10.700873,35.548729,3685,4.7002,2.18069,0,649.139
58018570,5.593171,33.352654,5328.99,4.607,7.05368,0,529.324
44521929,7.339383,32.829937,nan,nan,0.945609,0,101.242
80437015,8.535126,25.397179,4054,4.60828,1.45505,0,320.032
437739969,3.016537,27.098976,nan,nan,25.1256,0,58.7648
80434219,5.022129,29.15156,5462,4.40721,1.33399,0,43.8639
411525561,6.25451,19.563139,5089,4.48009,4.69373,0,347.003
115616945,8.455581,40.468182,nan,nan,12.4394,0,38.9033
239553154,8.010156,30.364574,nan,nan,20.1207,0,52.4709
25756430,9.890679,28.059053,4990,5.85818,26.441,0,42.28
22527304,2.843348,30.449568,5489,5.64192,6.00528,0,188.461
437745995,3.492672,28.618965,nan,nan,0.749777,0,181.964
25757123,9.987243,29.712288,nan,nan,12.9166,0,57.0152
267886264,11.560403,35.47607,5509,5.86807,15.4919,0,101.041
440657500,6.834616,27.840345,nan,nan,0.855871,0,289.452
239551764,7.89038,32.999535,6202.15,4.17,0.723463,0,109.053
13824278,11.760694,26.076267,5445.08,5.89634,20.1207,0,188.671
243084840,349.518118,18.726322,nan,nan,1.78715,0,122.434
354594978,1.824493,30.389742,5678,4.3642,11.3237,0,130.018
57962094,5.017254,35.448746,5460.37,5.88883,7.87898,0,66.2606
267779391,10.587269,31.493717,6820,4.18529,2.42113,0,583.201
25763767,10.560898,26.638641,7032.4,3.795,0.600821,0,45.9147
366038772,355.817914,34.512455,5867,4.32883,5.76535,0,41.5561
396234347,0.222379,35.752598,nan,nan,25.1256,0,115.284
283884522,2.213662,33.878922,5859,5.53406,1.25447,0,286.512
194386409,3.346611,38.993912,nan,nan,0.729208,0,37.9313
283859582,2.360109,27.496813,5311,4.43828,0.942081,0,47.8867
242743194,8.328535,19.195343,4516,5.79635,1.13724,0,51.5049
348635672,358.648216,28.918236,5345,4.43134,12.5945,0,84.0266
437742377,3.192502,28.721319,5905,5.95883,1.13214,0,90.4856
58032207,5.883286,30.637171,6453,4.22994,0.847257,0,238.557
455730927,357.244118,36.680828,nan,nan,2.69215,0,113.114
455767987,358.03316,36.72337,nan,nan,12.5945,0,53.8288
239548723,359.85944,24.008755,5174,4.46507,1.05087,0,43.2706
243106081,350.16713,19.840809,8481,4.85296,29.5334,0,42.9288
437736382,2.451112,27.873125,5517,4.39595,4.29461,0,158.248
437746031,3.485943,28.730301,5499,5.99599,1.08009,0,146.025
435859139,11.655529,20.212666,8367,5.02108,0.542714,0,65.7783
291751581,359.168942,36.630642,5190.17,4.20837,13.6129,0,120.048
83957482,0.292199,32.077393,5986.55,5.20388,1.48282,0,64.7649
115417153,6.972822,36.455208,5738,4.3528,4.31295,0,42.493
155226619,359.346062,31.285076,5369,4.4264,15.2579,0,166.855
238392687,1.238779,27.083267,6176,4.2737,1.66628,0,241.393
194325848,2.393569,37.80439,6600,4.21004,16.239,0,139.225
306124376,4.682672,25.828876,nan,nan,4.71565,0,469.252
426960711,9.116445,21.537397,5801,4.34102,2.22881,0,158.125
13961725,13.747048,24.10038,nan,nan,0.920615,0,65.2616
440635668,6.636759,27.173161,5095,4.47908,1.04435,0,41.0816
455736360,357.362883,38.58094,7618,4.12388,1.76221,0,78.9292
155203842,359.138589,31.008314,4646,4.53839,0.909017,0,82.341
58033693,5.918423,34.588261,7326.17,4.046,0.932514,0,241.18
115745333,9.14975,41.701748,6452,4.23008,4.8986,0,419.365
129574092,357.131177,25.653843,6447,4.40791,14.3885,0,60.8425
80426043,2.741476,25.600042,5902,5.73919,2.83575,0,342.348
440674667,8.001158,26.088556,5855,4.76975,25.1256,0,75.5753
440674652,8.045962,26.129601,6014,6.22489,40.0802,0,67.0602
352726596,356.314034,38.567204,5582,5.87535,5.42476,0,147.945
455762536,357.826155,38.481449,nan,nan,0.840209,0,212.285
352176833,0.665612,39.232246,5367,4.42682,5.20129,0,163.998
306066554,3.872064,27.695042,6070,4.29212,0.750892,0,40.4731
247329164,9.853313,40.840889,nan,nan,1.14368,0,47.0214
25761442,10.350451,28.538383,5736.62,4.35306,1.36647,0,99.3765
455732201,357.291479,38.839291,5360,5.27627,2.07753,0,195.808
407307771,0.003417,25.967329,6419,4.2349,45.4959,0,81.1538
437749749,3.839747,28.587202,6535.92,4.58237,29.5334,0,105.675
306118090,4.372142,26.610971,5503,4.3988,1.15545,0,60.9872
437752996,5.383317,26.962057,nan,nan,29.5334,0,52.9632
115863076,11.824207,36.746113,5200,4.46019,13.4318,0,37.9135
22567527,3.06176,33.920876,5545,4.39029,14.5964,0,86.366
242800866,8.667881,21.421263,6033,5.37247,1.24213,0,92.1225
365965089,4.052101,35.094395,6186.48,5.26075,5.83192,0,62.1275
437761208,5.929541,29.401022,6735,2.68,0.794603,0,1213.21
440656321,6.723245,23.929991,nan,nan,0.531576,0,198.399
56249250,356.310978,27.960501,5880,4.32645,0.729208,0,794.327
150908248,4.604169,23.409515,5479,4.40371,1.53931,0,232.117
352790403,356.659702,38.921822,5205,5.91825,20.9556,0,70.5838
455761731,357.855567,37.174431,7094,4.16091,0.941203,0,525.126
22501161,2.408192,35.307339,nan,nan,50,0,40.9108
150900633,4.10594,19.529173,6138,4.28022,18.9861,0,39.2545
437752575,5.316655,25.524237,nan,nan,27.1518,0,242.751
239555101,8.026764,35.626053,5613.68,4.13693,16.239,0,73.4694
437734368,2.155091,27.476234,5745,4.35149,29.5334,0,37.5557
150899091,4.058671,22.166206,6143,4.27936,0.573529,0,93.851
57962744,4.97851,34.602367,5089,5.97574,24.5158,0,55.9154
258952886,9.608216,36.905434,6202,4.2693,0.738269,0,133.776
13861387,12.266072,25.58606,5752,4.76352,3.88199,0,73.8196
129576212,357.268098,28.411631,nan,nan,11.7178,0,42.7147
365856928,358.765289,24.022451,6075,4.29124,0.922297,0,124.124
365934756,3.517845,34.475647,7004.22,4.154,0.840209,0,86.405
57988370,5.362454,30.223032,6331,4.24831,0.519545,0,1787.41
238394268,1.437623,26.05233,4929,4.50453,15.0308,0,45.787
365961623,3.746014,33.261532,4139,5.66972,14.3885,0,62.0639
58017347,5.329943,35.404285,6367,4.24272,0.515568,0,1239.5
150855033,3.488425,23.426285,5287,5.95343,1.09058,0,116.801
